game_id,timestamp,deck_name,opponent,game_won,game_result_reason,player_commander,opponent_commander
79df1b57-cd53-4981-a80d-d0c419c86078,2025-04-11 21:37:14.050,You've Got Gnomes,RUCKUS,False,ResultReason_Game,"Anim Pakal, Thousandth Moon","Kinnan, Bonder Prodigy"
2ebcd41f-8dbe-4707-80c2-46c9ef761719,2025-04-11 21:41:46.684,You've Got Gnomes,Lugaid,False,ResultReason_Concede,"Anim Pakal, Thousandth Moon",95516
48f1372e-cd0c-4aff-b30a-f950cfa44eba,2025-04-11 21:44:43.132,You've Got Gnomes,Allred1000,False,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Tasha, Unholy Archmage"
2db616a2-e0c7-4708-9d5b-2b66389955b3,2025-04-11 21:49:43.784,You've Got Gnomes,lord jore,True,ResultReason_Game,"Anim Pakal, Thousandth Moon","Narset, Enlightened Master"
dd0dcc83-4e79-4eec-b56e-ab7533a060cf,2025-04-11 21:59:03.442,You've Got Gnomes,Psillias2,False,ResultReason_Game,"Anim Pakal, Thousandth Moon",90302
ea303158-72f7-4504-be12-c9dbada31e51,2025-04-11 22:00:33.926,You've Got Gnomes,NickGG,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Jadar, Ghoulcaller of Nephalia"
21eaa7cc-6c94-4e75-806e-20fd8bea26bd,2025-04-11 22:07:15.267,You've Got Gnomes,Twistofrage,False,ResultReason_Game,"Anim Pakal, Thousandth Moon","Tajic, Legion's Valor"
d0fb79dc-ef70-44a3-a7ac-ed0c7b519b92,2025-04-11 22:11:40.801,You've Got Gnomes,YottoBear,False,ResultReason_Game,"Anim Pakal, Thousandth Moon","Balmor, Battlemage Captain"
84900222-1dc2-4d26-9d44-bfe28b16f65c,2025-04-11 22:17:19.629,You've Got Gnomes,Leo the Ace,True,ResultReason_Timeout,"Anim Pakal, Thousandth Moon","Etali, Primal Conqueror // Etali, Primal Sickness"
5bd86741-a79f-40cc-b60d-ee9b460bba79,2025-04-11 22:18:41.197,You've Got Gnomes,Bonedaddy,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon",95516
d54b28ab-3a68-4dea-b874-e5c24307919b,2025-04-11 22:23:29.995,You've Got Gnomes,Adumbration,True,ResultReason_Game,"Anim Pakal, Thousandth Moon","Atraxa, Grand Unifier"
d2481fa0-2c23-4026-8ae5-15f3a4b2f156,2025-04-11 22:29:51.646,You've Got Gnomes,RJRMTG,False,ResultReason_Game,"Anim Pakal, Thousandth Moon",95706
